Nome Grafo,Clustering Medio,Centro del Grafo,Raggio,Distanza Media,Transitività
Grafo normale,0.1651253164742771,"Kevin Roitero, Stefano Mizzaro, Gianluca Demartini, Michael Soprano",2,2.651742993848257,0.14793856103476152
Grafo Preferential Attachment,0.20810255038404107,"David La Barbera, Kevin Roitero, Stefano Mizzaro, Gianluca Demartini, Damiano Spina, Michael Soprano, Vincenzo Della Mea, Davide Ceolin, Tim Draws, Alessandro Checco, Eddy Maddalena, Falk Scholer, Mark Sanderson",2,2.4032809295967192,0.29259962049335864
G_Preferential_attachment_correct_no_random,0.7048567064806919,"Kevin Roitero, Stefano Mizzaro, Gianluca Demartini, Michael Soprano, Vincenzo Della Mea, Davide Ceolin, Alessandro Checco, Eddy Maddalena, Falk Scholer, Andrew Turpin, Ujwal Gadiraju, Lei Han, Elena Simperl, Cristina Sarasua, Luis-Daniel Ibáñez, Marco Basaldella, Mattia Zeni",2,2.038961038961039,0.10729253981559095
